date,open,high,low,close,volume,average,barCount
2023-08-08 06:30:00-07:00,4510.5,4511.25,4497.5,4500.25,-1.0,-1.0,-1
2023-08-08 06:45:00-07:00,4500.25,4500.25,4490.25,4495.25,-1.0,-1.0,-1
2023-08-08 07:00:00-07:00,4495.25,4498.25,4486.0,4487.0,-1.0,-1.0,-1
2023-08-08 07:15:00-07:00,4487.0,4491.75,4483.25,4491.25,-1.0,-1.0,-1
2023-08-08 07:30:00-07:00,4491.25,4493.5,4485.0,4492.75,-1.0,-1.0,-1
2023-08-08 07:45:00-07:00,4492.75,4493.0,4484.25,4484.75,-1.0,-1.0,-1
2023-08-08 08:00:00-07:00,4484.75,4487.75,4482.0,4487.25,-1.0,-1.0,-1
2023-08-08 08:15:00-07:00,4487.25,4492.25,4486.0,4491.25,-1.0,-1.0,-1
2023-08-08 08:30:00-07:00,4491.25,4492.25,4485.25,4487.75,-1.0,-1.0,-1
2023-08-08 08:45:00-07:00,4487.75,4488.75,4484.5,4486.25,-1.0,-1.0,-1
2023-08-08 09:00:00-07:00,4486.25,4493.5,4485.5,4492.75,-1.0,-1.0,-1
2023-08-08 09:15:00-07:00,4492.75,4495.5,4492.5,4494.0,-1.0,-1.0,-1
2023-08-08 09:30:00-07:00,4494.0,4499.0,4492.25,4492.25,-1.0,-1.0,-1
2023-08-08 09:45:00-07:00,4492.25,4495.25,4491.75,4495.25,-1.0,-1.0,-1
2023-08-08 10:00:00-07:00,4495.25,4499.75,4494.75,4498.75,-1.0,-1.0,-1
2023-08-08 10:15:00-07:00,4498.75,4503.5,4495.75,4498.75,-1.0,-1.0,-1
2023-08-08 10:30:00-07:00,4498.75,4502.25,4494.75,4501.0,-1.0,-1.0,-1
2023-08-08 10:45:00-07:00,4501.0,4503.25,4498.5,4502.0,-1.0,-1.0,-1
2023-08-08 11:00:00-07:00,4502.0,4505.75,4498.75,4504.25,-1.0,-1.0,-1
2023-08-08 11:15:00-07:00,4504.25,4509.25,4504.0,4506.25,-1.0,-1.0,-1
2023-08-08 11:30:00-07:00,4506.25,4508.25,4504.0,4504.25,-1.0,-1.0,-1
2023-08-08 11:45:00-07:00,4504.25,4515.5,4504.0,4513.0,-1.0,-1.0,-1
2023-08-08 12:00:00-07:00,4513.0,4515.75,4511.25,4513.25,-1.0,-1.0,-1
2023-08-08 12:15:00-07:00,4513.25,4517.75,4511.5,4515.5,-1.0,-1.0,-1
2023-08-08 12:30:00-07:00,4515.5,4521.0,4511.5,4518.75,-1.0,-1.0,-1
2023-08-08 12:45:00-07:00,4518.75,4522.0,4516.75,4517.25,-1.0,-1.0,-1
2023-08-08 13:00:00-07:00,4517.25,4518.5,4515.5,4517.25,-1.0,-1.0,-1
2023-08-08 13:15:00-07:00,4517.25,4517.25,4516.0,4516.5,-1.0,-1.0,-1
2023-08-08 13:30:00-07:00,4516.5,4517.0,4516.25,4516.75,-1.0,-1.0,-1
2023-08-08 13:45:00-07:00,4516.75,4517.25,4516.25,4517.0,-1.0,-1.0,-1
2023-08-09 06:30:00-07:00,4519.5,4521.25,4509.75,4512.5,-1.0,-1.0,-1
2023-08-09 06:45:00-07:00,4512.5,4515.0,4509.25,4512.25,-1.0,-1.0,-1
2023-08-09 07:00:00-07:00,4512.25,4517.0,4510.0,4512.75,-1.0,-1.0,-1
2023-08-09 07:15:00-07:00,4512.75,4514.5,4509.25,4513.5,-1.0,-1.0,-1
2023-08-09 07:30:00-07:00,4513.5,4515.5,4510.0,4513.0,-1.0,-1.0,-1
2023-08-09 07:45:00-07:00,4513.0,4514.0,4501.25,4502.75,-1.0,-1.0,-1
2023-08-09 08:00:00-07:00,4502.75,4505.75,4497.5,4498.0,-1.0,-1.0,-1
2023-08-09 08:15:00-07:00,4498.0,4499.5,4487.0,4488.75,-1.0,-1.0,-1
2023-08-09 08:30:00-07:00,4488.75,4492.5,4485.5,4488.25,-1.0,-1.0,-1
